crt.sh ID,Logged At,Not Before,Not After,Common Name,Matching Identities,Issuer Name
13702574625,2024-07-12,2024-07-12,2024-10-10,"ac.awesomedrives.com","status-beta.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13731925107,2024-07-12,2024-07-12,2024-10-10,"ac.awesomedrives.com","status-beta.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13731087368,2024-07-14,2024-07-14,2024-10-12,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13751706170,2024-07-14,2024-07-14,2024-10-12,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13737955156,2024-07-14,2024-07-14,2024-10-12,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13751713274,2024-07-14,2024-07-14,2024-10-12,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13732424669,2024-07-14,2024-07-14,2025-08-11,"file-vault.plaid.com","file-vault.plaid.com
static-file-vault.plaid.com","C=US, O=Amazon, CN=Amazon RSA 2048 M03"
13732977303,2024-07-14,2024-07-14,2025-08-11,"file-vault.plaid.com","file-vault.plaid.com
static-file-vault.plaid.com","C=US, O=Amazon, CN=Amazon RSA 2048 M03"
13747788121,2024-07-15,2024-07-15,2024-10-13,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13766955584,2024-07-15,2024-07-15,2024-10-13,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13749513766,2024-07-15,2024-07-15,2024-10-13,"ac.awesomedrives.com","status-beta.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13768652558,2024-07-15,2024-07-15,2024-10-13,"ac.awesomedrives.com","status-beta.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13750543120,2024-07-15,2024-07-15,2024-10-13,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13769748266,2024-07-15,2024-07-15,2024-10-13,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13750582389,2024-07-15,2024-07-15,2024-10-13,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13769776695,2024-07-15,2024-07-15,2024-10-13,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13754091593,2024-07-15,2024-07-15,2024-10-13,"api.dashboard.plaid.com","api.dashboard.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13773823509,2024-07-15,2024-07-15,2024-10-13,"api.dashboard.plaid.com","api.dashboard.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13761981852,2024-07-16,2024-07-16,2025-08-08,"sandbox.plaid.com","development2.plaid.com
development.plaid.com
sandbox2.plaid.com
sandbox.plaid.com","C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
13778402751,2024-07-17,2024-07-17,2024-10-15,"*.util.ue1.plaid.com","*.util.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13814244614,2024-07-17,2024-07-17,2024-10-15,"*.util.ue1.plaid.com","*.util.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13790494719,2024-07-18,2024-07-18,2024-10-16,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13836021402,2024-07-18,2024-07-18,2024-10-16,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13795340591,2024-07-18,2024-07-18,2025-08-16,"tines.plaid.com","tines.plaid.com","C=US, O=Amazon, CN=Amazon RSA 2048 M02"
13795328379,2024-07-18,2024-03-22,2025-04-20,"tines2.zdrake.com","tines.plaid.com","C=US, O=Amazon, CN=Amazon RSA 2048 M02"
13802266186,2024-07-19,2024-07-18,2025-08-16,"tines.plaid.com","tines.plaid.com","C=US, O=Amazon, CN=Amazon RSA 2048 M02"
13803464595,2024-07-19,2024-07-19,2024-10-17,"*.util.ue1.plaid.com","*.util.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13853053953,2024-07-19,2024-07-19,2024-10-17,"*.util.ue1.plaid.com","*.util.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13821200767,2024-07-20,2024-07-20,2024-10-18,"fin.plaid.com","fin.plaid.com","C=AT, O=ZeroSSL, CN=ZeroSSL RSA Domain Secure Site CA"
13821200771,2024-07-20,2024-07-20,2024-10-18,"fin.plaid.com","fin.plaid.com","C=AT, O=ZeroSSL, CN=ZeroSSL RSA Domain Secure Site CA"
13833489125,2024-07-22,2024-07-22,2024-10-20,"api.dashboard.plaid.com","api.dashboard.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13882164020,2024-07-22,2024-07-22,2024-10-20,"api.dashboard.plaid.com","api.dashboard.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13837224393,2024-07-22,2024-07-22,2024-10-20,"api.my-testing.plaid.com","api.my-testing.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13882220311,2024-07-22,2024-07-22,2024-10-20,"api.my-testing.plaid.com","api.my-testing.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13850435316,2024-07-23,2024-07-23,2024-10-21,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13897037499,2024-07-23,2024-07-23,2024-10-21,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13868395777,2024-07-24,2024-07-24,2025-08-22,"tines.koeniglabs.com","tines.plaid.com","C=US, O=Amazon, CN=Amazon RSA 2048 M02"
13879732423,2024-07-25,2024-07-25,2025-08-23,"tines.koeniglabs.com","tines.plaid.com","C=US, O=Amazon, CN=Amazon RSA 2048 M02"
13881107491,2024-07-25,2024-07-25,2025-08-23,"tines.koeniglabs.com","tines.plaid.com","C=US, O=Amazon, CN=Amazon RSA 2048 M03"
13929653990,2024-07-28,2024-07-28,2024-10-26,"metrics.plaid.com","metrics.plaid.com
m.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14008933912,2024-07-28,2024-07-28,2024-10-26,"metrics.plaid.com","metrics.plaid.com
m.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13918955157,2024-07-28,2024-07-28,2024-10-26,"metrics.plaid.com","metrics.plaid.com
m.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14008943066,2024-07-28,2024-07-28,2024-10-26,"metrics.plaid.com","metrics.plaid.com
m.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13937162252,2024-07-29,2024-07-29,2024-10-27,"*.testing.ue1.plaid.com","*.testing.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14019119076,2024-07-29,2024-07-29,2024-10-27,"*.testing.ue1.plaid.com","*.testing.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13937245542,2024-07-29,2024-07-29,2024-10-27,"*.util.ue1.plaid.com","*.util.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14019216868,2024-07-29,2024-07-29,2024-10-27,"*.util.ue1.plaid.com","*.util.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13925593491,2024-07-29,2024-07-29,2024-10-27,"*.sandbox.ue1.plaid.com","*.sandbox.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14022768010,2024-07-29,2024-07-29,2024-10-27,"*.sandbox.ue1.plaid.com","*.sandbox.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13962895812,2024-07-29,2024-07-29,2024-10-27,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14022775493,2024-07-29,2024-07-29,2024-10-27,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13927234584,2024-07-29,2024-07-29,2024-10-27,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14025715644,2024-07-29,2024-07-29,2024-10-27,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13942250812,2024-07-29,2024-07-29,2024-10-27,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14025715968,2024-07-29,2024-07-29,2024-10-27,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13927254488,2024-07-29,2024-07-29,2024-10-27,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14025763957,2024-07-29,2024-07-29,2024-10-27,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13943057204,2024-07-31,2024-07-31,2024-10-29,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14047084840,2024-07-31,2024-07-31,2024-10-29,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13943059321,2024-07-31,2024-07-31,2024-10-29,"*.util.ue1.plaid.com","*.util.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14047091635,2024-07-31,2024-07-31,2024-10-29,"*.util.ue1.plaid.com","*.util.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13984133016,2024-08-02,2024-08-02,2024-10-31,"api.app-sandbox.plaid.com","api.app-sandbox.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14075891838,2024-08-02,2024-08-02,2024-10-31,"api.app-sandbox.plaid.com","api.app-sandbox.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13972566072,2024-08-02,2024-08-02,2024-10-31,"api.app.plaid.com","api.app.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14075977991,2024-08-02,2024-08-02,2024-10-31,"api.app.plaid.com","api.app.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13991634586,2024-08-03,2024-08-03,2024-11-01,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14084280469,2024-08-03,2024-08-03,2024-11-01,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R11"
13982806548,2024-08-03,2024-08-03,2024-11-01,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14084280448,2024-08-03,2024-08-03,2024-11-01,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14030274035,2024-08-03,2024-08-03,2024-11-01,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14084296219,2024-08-03,2024-08-03,2024-11-01,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
13993971147,2024-08-04,2024-08-04,2024-11-02,"ja.riws.status.ricoh.com","status.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14094923322,2024-08-04,2024-08-04,2024-11-02,"ja.riws.status.ricoh.com","status.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14003054631,2024-08-05,2024-08-05,2025-09-02,"keybank-test-api-20230831.plaid.com","keybank-test-api-20230831.plaid.com","C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
14003085910,2024-08-05,2024-08-05,2025-09-02,"keybank-prod-api-20230831.plaid.com","keybank-prod-api-20230831.plaid.com","C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
14014860072,2024-08-06,2024-08-06,2024-11-04,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14111496818,2024-08-06,2024-08-06,2024-11-04,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14014965746,2024-08-06,2024-08-06,2024-11-04,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14111572093,2024-08-06,2024-08-06,2024-11-04,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14014956411,2024-08-06,2024-08-06,2024-11-04,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14111572976,2024-08-06,2024-08-06,2024-11-04,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14015064297,2024-08-06,2024-08-06,2024-11-04,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14111612189,2024-08-06,2024-08-06,2024-11-04,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14056916136,2024-08-06,2024-08-06,2024-11-04,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14116253669,2024-08-06,2024-08-06,2024-11-04,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14065805487,2024-08-07,2024-08-07,2024-11-05,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14123413302,2024-08-07,2024-08-07,2024-11-05,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14039729809,2024-08-08,2024-08-08,2025-09-07,"op-scim.plaid.com","op-scim.plaid.com","C=US, O=Amazon, CN=Amazon RSA 2048 M03"
14088203973,2024-08-10,2024-08-09,2024-11-07,"security.plaid.com","security.plaid.com","C=US, O=Google Trust Services, CN=WR1"
14088208699,2024-08-10,2024-08-09,2024-11-07,"security.plaid.com","security.plaid.com","C=US, O=Google Trust Services, CN=WE1"
14068440996,2024-08-10,2024-08-09,2024-11-07,"security.plaid.com","security.plaid.com","C=US, O=Google Trust Services, CN=WE1"
14071891456,2024-08-10,2024-08-10,2024-11-08,"threads.plaid.com","threads.plaid.com","C=US, O=Let's Encrypt, CN=E5"
14140958130,2024-08-10,2024-08-10,2024-11-08,"threads.plaid.com","threads.plaid.com","C=US, O=Let's Encrypt, CN=E5"
14101824101,2024-08-12,2024-08-12,2024-11-10,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14155195869,2024-08-12,2024-08-12,2024-11-10,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14105115007,2024-08-12,2024-08-12,2025-08-11,"nwm-sandbox-api-20240812.plaid.com","nwm-sandbox-api-20240812.plaid.com","C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
14105412575,2024-08-12,2024-08-12,2025-08-11,"nwm-prod-api-20240812.plaid.com","nwm-prod-api-20240812.plaid.com","C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
14107481505,2024-08-12,2024-08-12,2024-11-10,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14158497754,2024-08-12,2024-08-12,2024-11-10,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14119605876,2024-08-13,2024-08-13,2024-11-11,"api.hosted.plaid.com","api.hosted.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14166564006,2024-08-13,2024-08-13,2024-11-11,"api.hosted.plaid.com","api.hosted.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14131557670,2024-08-14,2024-08-14,2024-11-12,"api.hosted-sandbox.plaid.com","api.hosted-sandbox.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14174783877,2024-08-14,2024-08-14,2024-11-12,"api.hosted-sandbox.plaid.com","api.hosted-sandbox.plaid.com","C=US, O=Let's Encrypt, CN=R10"
